"","accession","distance"
"216","9778",1.56988860218506
"213","9764",1.7900172824589
"140","8244",1.82425691644527
"201","9685",1.86826640544492
"154","9075",1.92033280082355
"194","9600",2.38876554944182
"224","9832",2.42746723466806
"189","9584",2.48347698520063
"198","9660",2.57864011374166
"52","6104",2.64802811087218
"200","9679",2.65415589185129
"148","8365",2.66696714348201
"170","9409",2.67564967928005
"101","6940",2.67702738082306
"99","6924",2.68564355527207
"231","9905",2.71537274525972
"222","9808",2.72377975096119
"237","9965",2.81550666262081
"208","9726",2.82050415176327
"116","7109",2.82129476022264
"24","5865",2.83732066009811
"223","9819",2.86971974892011
"36","6035",2.90265712946214
"241","9983",2.9322643020628
"115","7094",3.00483048182159
"156","9298",3.019213937591
"104","6966",3.02553867942001
"212","9762",3.06842304418062
"150","8369",3.08212773095124
"108","6979",3.08534236828245
"227","9887",3.1216628191662
"97","6901",3.17487093337427
"230","9902",3.21539188231469
"207","9717",3.27121537634945
"106","6974",3.29852043732827
"188","9582",3.30750223689594
"185","9551",3.31378913509495
"17","5717",3.32981156923876
"229","9890",3.37687807214092
"203","9705",3.38631479571492
"182","9523",3.39685166273423
"102","6945",3.42845868162709
"120","7217",3.43100999699
"206","9713",3.44045090714694
"221","9805",3.44165258010827
"61","6125",3.44173836022432
"93","6258",3.44237312283283
"228","9888",3.50008151917898
"21","5779",3.5072789343004
"226","9877",3.51841443619218
"58","6114",3.56237217114013
"145","8326",3.57806740157776
"67","6137",3.5816860609315
"211","9733",3.60494460250867
"130","768",3.62224701300953
"215","9772",3.64467460481895
"1","10012",3.68125526526029
"94","6284",3.69131207420174
"121","7223",3.70163618294589
"225","9854",3.71975908406793
"100","6932",3.75091359286274
"197","9644",3.7709876563926
"235","9943",3.7769794941012
"217","9781",3.77975502495635
"209","9728",3.78169606766405
"186","9559",3.78598608432606
"31","6021",3.84862056462128
"13","4807",3.87544995588296
"60","6124",3.88230704780644
"89","6240",3.92373546188697
"91","6242",3.92658681901202
"72","6150",3.96915302476743
"238","9968",3.97430459607433
"35","6034",3.99319361516687
"30","6020",4.03253031010105
"71","6148",4.08613058203821
"73","6151",4.09118302604462
"32","6023",4.15153361399405
"149","8366",4.19700841014235
"146","8335",4.197581303461
"136","8240",4.20317734134398
"123","7298",4.23723249505133
"103","6951",4.2420159853998
"6","1158",4.26667787916733
"152","8422",4.28995138590383
"192","9588",4.30511092487704
"167","9404",4.35241553934652
"180","9470",4.35349084858976
"184","9550",4.36000368102818
"151","8419",4.36955619194187
"122","7255",4.44630166701295
"65","6133",4.45930202854598
"20","5776",4.47116850240455
"131","8222",4.52121698118435
"9","1552",4.52684271236132
"139","8243",4.54389885115285
"183","9540",4.54716327697804
"193","9595",4.55166000992595
"144","8283",4.57618658869887
"75","6169",4.60143267889863
"62","6126",4.61297973963237
"119","7192",4.64207902704412
"18","5726",4.64543611628731
"124","7305",4.6578217851523
"14","5210",4.67322537331622
"114","7061",4.67500266795749
"109","6982",4.67691024172792
"236","9962",4.6811259089552
"50","6099",4.68338529973327
"113","7058",4.68863879048554
"118","7181",4.8537552977948
"83","6203",4.86480372616716
"132","8230",4.87488250305454
"142","8249",4.87509256222572
"53","6105",4.89271027643346
"110","6984",4.95087302358682
"135","8239",4.9645948361509
"239","997",4.99213705030805
"126","7413",5.00702782772222
"159","9336",5.04763435834771
"46","6085",5.05149377906265
"190","9585",5.06180640736462
"51","6102",5.0623964176303
"55","6107",5.06466231196863
"69","6140",5.0685163766452
"160","9339",5.08981906192019
"90","6241",5.09350917354625
"240","9978",5.09935461654944
"177","9452",5.11368502907692
"19","5772",5.12655962691795
"79","6192",5.14223380299226
"84","6209",5.14405616485882
"187","9562",5.172009330127
"42","6069",5.17744184835386
"34","6030",5.18678028815654
"163","9386",5.19098817723942
"47","6090",5.20683248493588
"205","9709",5.20782185339497
"174","9433",5.2141072623101
"166","9399",5.40357885109474
"98","6909",5.41051938167244
"54","6106",5.45362635730468
"48","6094",5.48461278888023
"22","5800",5.49156653556293
"23","5832",5.50219800924572
"220","9794",5.50609201427122
"107","6976",5.5149006206561
"45","6076",5.54564010624949
"66","6134",5.55836074976567
"143","8259",5.57759227944035
"155","9133",5.67060248679257
"64","6132",5.67975073490745
"5","1062",5.68062719753636
"77","6177",5.69162235207355
"168","9405",5.86622846623412
"25","6009",5.87033229902912
"181","9481",5.8820563778351
"175","9436",5.91150538955046
"141","8247",5.93703933559549
"82","6202",5.98102977510143
"15","5276",5.99820267454764
"178","9453",6.0125548722434
"210","9730",6.02735966502882
"153","9057",6.03050163836666
"12","428",6.03317474279959
"111","7014",6.04672845831922
"59","6122",6.04954359387691
"38","6038",6.06325979690495
"133","8231",6.27757328261296
"16","5651",6.36704537075374
"165","9395",6.38431573084665
"92","6244",6.38569732528112
"39","6040",6.46341752350934
"10","15593",6.52001111592472
"196","9621",6.66508368796876
"37","6036",6.71615205017252
"56","6109",6.71776940238961
"44","6074",6.73215981144754
"3","10020",6.74164054111055
"117","7111",6.76337014175983
"28","6016",6.82528559130879
"219","9792",6.8824722719681
"26","6011",6.91936609562828
"41","6064",6.9433248620887
"2","1002",6.95369687969168
"233","9917",7.03023400622227
"7","1254",7.06404317380452
"112","7026",7.08529337575624
"199","9663",7.10755457312856
"179","9454",7.1646703066295
"81","6201",7.18645591294846
"4","1061",7.30731576455879
"176","9451",7.30750447925498
"169","9408",7.31120135384386
"86","6217",7.34769386284162
"191","9586",7.36005063341038
"137","8241",7.3819016864856
"11","410",7.42559906201159
"138","8242",7.46503755292006
"74","6153",7.46976410242431
"78","6184",7.47188117039887
"49","6097",7.5649023149324
"173","9427",7.57584522335067
"125","7322",7.6692678068673
"127","7424",7.71865514257421
"105","6969",7.76274665156402
"218","9782",7.77063446697427
"29","6017",7.82446016334507
"234","992",7.87561155527958
"80","6194",7.9018807203725
"70","6142",7.91324312114158
"204","9706",7.91857909395172
"164","9388",8.09255402882227
"40","6043",8.12123953809194
"27","6012",8.16238286666487
"43","6070",8.17456697182897
"172","9416",8.21095323622901
"202","9701",8.22211415001212
"96","6413",8.44306287027777
"68","6138",8.45089155187749
"128","7471",8.47170659191808
"33","6024",8.50134497011217
"134","8237",8.60823745216411
"158","9323",9.03166906114144
"57","6111",9.10012647697915
"147","8351",9.16669803801943
"161","9352",9.16924935583524
"88","6237",9.37059028603422
"157","9321",9.43583302745949
"232","991",9.45808233282216
"87","6220",9.4711687455853
"63","6131",9.63977935679537
"8","1257",9.673533047609
"95","6396",9.72767467933088
"129","766",9.93724433861593
"171","9413",10.2908221526742
"214","9766",10.6158455992628
"85","6210",10.8073127623581
"195","9611",11.0590490947378
"162","9371",13.2717875221687
"76","6172",15.1146464030858
