"tg_ecotypeid","size","perimeter","length","width"
"991",0.14,1.422,0.511,0.347
"992",0.124,1.35,0.49,0.321
"996",0.125,1.357,0.502,0.315
"997",0.108,1.242,0.453,0.302
"998",0.117,1.29,0.465,0.32
"999",0.121,1.341,0.497,0.308
"1002",0.119,1.322,0.474,0.318
"1006",0.113,1.28,0.471,0.304
"1061",0.113,1.267,0.46,0.311
"1062",0.128,1.37,0.497,0.326
"1063",0.134,1.393,0.5,0.339
"1064",0.129,1.372,0.501,0.327
"1068",0.124,1.355,0.5,0.315
"1070",0.119,1.32,0.487,0.311
"1072",0.113,1.27,0.461,0.312
"1073",0.117,1.298,0.476,0.313
"1075",0.125,1.341,0.486,0.327
"1132",0.11,1.27,0.473,0.296
"1153",0.101,1.2045,0.433,0.296
"1158",0.114,1.292,0.481,0.3
"1163",0.11,1.261,0.462,0.303
"1166",0.103,1.213,0.441,0.298
"1169",0.137,1.41,0.515,0.337
"1247",0.133,1.396,0.518,0.325
"1254",0.137,1.42766666666667,0.528666666666667,0.327333333333333
"1256",0.14,1.434,0.524,0.339
"1257",0.135,1.406,0.514,0.331
"1312",0.139,1.423,0.522,0.338
"1313",0.133,1.383,0.501,0.334
"1317",0.129333333333333,1.36066666666667,0.488333333333333,0.335
"1318",0.137,1.395,0.504,0.344
"1360",0.136,1.425,0.522,0.33
"1362",0.127,1.363,0.498,0.325
"1363",0.127,1.362,0.504,0.319
"1366",0.116,1.3,0.475,0.31
"1374",0.127,1.364,0.497,0.324
"1391",0.122,1.349,0.5,0.311
"1404",0.154,1.501,0.542,0.359
"1435",0.121,1.321,0.471,0.325
"1552",0.154,1.518,0.556,0.35
"1585",0.134,1.389,0.509,0.334
"5829",0.119,1.321,0.48,0.313
"5830",0.115,1.305,0.49,0.299
"5831",0.126,1.353,0.489,0.326
"5832",0.131,1.388,0.502,0.331
"5835",0.117,1.308,0.484,0.307
"5836",0.134,1.403,0.518,0.328
"5856",0.132,1.395,0.519,0.323
"5860",0.125,1.353,0.498,0.319
"5865",0.125,1.344,0.491,0.324
"5867",0.115,1.285,0.467,0.311
"5870",0.126,1.362,0.502,0.317
"6009",0.144,1.464,0.54,0.338
"6010",0.139,1.441,0.538,0.328
"6011",0.144,1.457,0.538,0.338
"6012",0.154,1.517,0.56,0.348
"6013",0.157,1.541,0.574,0.346
"6016",0.162,1.566,0.587,0.349
"6017",0.134,1.404,0.525,0.324
"6019",0.112,1.268,0.46,0.308
"6020",0.107,1.232,0.444,0.304
"6021",0.121,1.339,0.496,0.31
"6022",0.1145,1.296,0.476,0.3055
"6023",0.114,1.277,0.467,0.309
"6024",0.121,1.317,0.481,0.318
"6025",0.161,1.532,0.559,0.364
"6030",0.143,1.472,0.555,0.327
"6034",0.123,1.334,0.489,0.319
"6035",0.1185,1.304,0.4705,0.3195
"6036",0.119,1.309,0.479,0.316
"6038",0.118,1.30733333333333,0.475333333333333,0.314666666666667
"6039",0.127,1.372,0.504,0.321
"6040",0.122,1.342,0.503,0.306
"6041",0.131,1.368,0.493,0.336
"6042",0.133,1.378,0.498,0.339
"6043",0.158,1.542,0.573,0.348
"6046",0.143,1.464,0.546,0.332
"6064",0.156,1.515,0.545,0.362
"6069",0.166,1.563,0.565,0.373
"6071",0.142,1.475,0.564,0.319
"6073",0.105,1.225,0.447,0.3
"6074",0.13,1.385,0.513,0.321
"6076",0.121,1.335,0.487,0.314
"6077",0.125,1.337,0.474,0.333
"6085",0.099,1.191,0.433,0.29
"6086",0.139,1.426,0.528,0.333
"6087",0.103,1.225,0.448,0.291
"6090",0.122,1.32,0.468,0.329
"6091",0.134,1.402,0.52,0.324
"6092",0.110333333333333,1.25666666666667,0.452,0.309666666666667
"6093",0.123,1.341,0.485,0.322
"6094",0.116,1.302,0.477,0.309
"6095",0.112,1.264,0.46,0.308
"6096",0.129,1.362,0.498,0.327
"6097",0.12,1.308,0.475,0.319
"6098",0.118,1.31,0.487,0.307
"6099",0.14,1.449,0.533,0.333
"6100",0.128,1.359,0.49,0.332
"6101",0.119,1.315,0.476,0.317
"6102",0.129,1.371,0.497,0.33
"6103",0.129,1.387,0.521,0.314
"6104",0.132,1.397,0.522,0.318
"6106",0.111,1.267,0.465,0.302
"6107",0.114,1.269,0.456,0.316
"6108",0.141,1.423,0.515,0.346
"6109",0.134,1.403,0.523,0.324
"6110",0.11,1.257,0.452,0.307
"6111",0.123,1.337,0.488,0.321
"6112",0.111,1.27,0.464,0.304
"6114",0.114,1.276,0.456,0.316
"6115",0.11,1.256,0.46,0.302
"6116",0.119,1.297,0.464,0.324
"6118",0.136,1.415,0.524,0.329
